sheet_asset_id,pdf_page,position,row,column,card_slug,visual_group,mapping_basis,similarity,notes
DECK-PRINT-CARDS-HUMAN-001,1,r1c1,1,1,s111,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r1c2,1,2,s112,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r1c3,1,3,s113,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r1c4,1,4,s114,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r1c5,1,5,s115,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r2c1,2,1,s117,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r2c2,2,2,s118,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r2c3,2,3,s119,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r2c4,2,4,s120,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r2c5,2,5,s116,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r3c1,3,1,s135,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r3c2,3,2,s136,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r3c3,3,3,s137,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r3c4,3,4,s138,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r3c5,3,5,s139,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r4c1,4,1,s140,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r4c2,4,2,s141,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r4c3,4,3,s142,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r4c4,4,4,s143,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r4c5,4,5,s144,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r5c1,5,1,s145,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r5c2,5,2,s146,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r5c3,5,3,s147,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r5c4,5,4,s148,activ-uman,webp-visual-match,,
DECK-PRINT-CARDS-HUMAN-001,1,r5c5,5,5,gol_uman,carte-inlocuire,owner-confirmed-and-visual-match,,Carte goala de inlocuire
