slug,pdf_page,position,card_type,cost,face_webp,face_pdf,artwork_png,artwork_jpg,artwork_webp,source_sheet
s111,1,r1c1,activ-uman,0,faces/webp/s111-activ-uman-cost-0.webp,faces/pdf/s111-activ-uman-cost-0.pdf,artwork/png/s111-activ-uman-cost-0.png,artwork/jpg/s111-activ-uman-cost-0.jpg,artwork/webp/s111-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s112,1,r1c2,activ-uman,0,faces/webp/s112-activ-uman-cost-0.webp,faces/pdf/s112-activ-uman-cost-0.pdf,artwork/png/s112-activ-uman-cost-0.png,artwork/jpg/s112-activ-uman-cost-0.jpg,artwork/webp/s112-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s113,1,r1c3,activ-uman,0,faces/webp/s113-activ-uman-cost-0.webp,faces/pdf/s113-activ-uman-cost-0.pdf,artwork/png/s113-activ-uman-cost-0.png,artwork/jpg/s113-activ-uman-cost-0.jpg,artwork/webp/s113-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s114,1,r1c4,activ-uman,0,faces/webp/s114-activ-uman-cost-0.webp,faces/pdf/s114-activ-uman-cost-0.pdf,artwork/png/s114-activ-uman-cost-0.png,artwork/jpg/s114-activ-uman-cost-0.jpg,artwork/webp/s114-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s115,1,r1c5,activ-uman,0,faces/webp/s115-activ-uman-cost-0.webp,faces/pdf/s115-activ-uman-cost-0.pdf,artwork/png/s115-activ-uman-cost-0.png,artwork/jpg/s115-activ-uman-cost-0.jpg,artwork/webp/s115-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s117,1,r2c1,activ-uman,0,faces/webp/s117-activ-uman-cost-0.webp,faces/pdf/s117-activ-uman-cost-0.pdf,artwork/png/s117-activ-uman-cost-0.png,artwork/jpg/s117-activ-uman-cost-0.jpg,artwork/webp/s117-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s118,1,r2c2,activ-uman,0,faces/webp/s118-activ-uman-cost-0.webp,faces/pdf/s118-activ-uman-cost-0.pdf,artwork/png/s118-activ-uman-cost-0.png,artwork/jpg/s118-activ-uman-cost-0.jpg,artwork/webp/s118-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s119,1,r2c3,activ-uman,0,faces/webp/s119-activ-uman-cost-0.webp,faces/pdf/s119-activ-uman-cost-0.pdf,artwork/png/s119-activ-uman-cost-0.png,artwork/jpg/s119-activ-uman-cost-0.jpg,artwork/webp/s119-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s120,1,r2c4,activ-uman,0,faces/webp/s120-activ-uman-cost-0.webp,faces/pdf/s120-activ-uman-cost-0.pdf,artwork/png/s120-activ-uman-cost-0.png,artwork/jpg/s120-activ-uman-cost-0.jpg,artwork/webp/s120-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s116,1,r2c5,activ-uman,0,faces/webp/s116-activ-uman-cost-0.webp,faces/pdf/s116-activ-uman-cost-0.pdf,artwork/png/s116-activ-uman-cost-0.png,artwork/jpg/s116-activ-uman-cost-0.jpg,artwork/webp/s116-activ-uman-cost-0.webp,BT_EZplay_pag2.pdf
s135,1,r3c1,activ-uman,1,faces/webp/s135-activ-uman-cost-1.webp,faces/pdf/s135-activ-uman-cost-1.pdf,artwork/png/s135-activ-uman-cost-1.png,artwork/jpg/s135-activ-uman-cost-1.jpg,artwork/webp/s135-activ-uman-cost-1.webp,BT_EZplay_pag2.pdf
s136,1,r3c2,activ-uman,1,faces/webp/s136-activ-uman-cost-1.webp,faces/pdf/s136-activ-uman-cost-1.pdf,artwork/png/s136-activ-uman-cost-1.png,artwork/jpg/s136-activ-uman-cost-1.jpg,artwork/webp/s136-activ-uman-cost-1.webp,BT_EZplay_pag2.pdf
s137,1,r3c3,activ-uman,1,faces/webp/s137-activ-uman-cost-1.webp,faces/pdf/s137-activ-uman-cost-1.pdf,artwork/png/s137-activ-uman-cost-1.png,artwork/jpg/s137-activ-uman-cost-1.jpg,artwork/webp/s137-activ-uman-cost-1.webp,BT_EZplay_pag2.pdf
s138,1,r3c4,activ-uman,1,faces/webp/s138-activ-uman-cost-1.webp,faces/pdf/s138-activ-uman-cost-1.pdf,artwork/png/s138-activ-uman-cost-1.png,artwork/jpg/s138-activ-uman-cost-1.jpg,artwork/webp/s138-activ-uman-cost-1.webp,BT_EZplay_pag2.pdf
s139,1,r3c5,activ-uman,1,faces/webp/s139-activ-uman-cost-1.webp,faces/pdf/s139-activ-uman-cost-1.pdf,artwork/png/s139-activ-uman-cost-1.png,artwork/jpg/s139-activ-uman-cost-1.jpg,artwork/webp/s139-activ-uman-cost-1.webp,BT_EZplay_pag2.pdf
s140,1,r4c1,activ-uman,2,faces/webp/s140-activ-uman-cost-2.webp,faces/pdf/s140-activ-uman-cost-2.pdf,artwork/png/s140-activ-uman-cost-2.png,artwork/jpg/s140-activ-uman-cost-2.jpg,artwork/webp/s140-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
s141,1,r4c2,activ-uman,2,faces/webp/s141-activ-uman-cost-2.webp,faces/pdf/s141-activ-uman-cost-2.pdf,artwork/png/s141-activ-uman-cost-2.png,artwork/jpg/s141-activ-uman-cost-2.jpg,artwork/webp/s141-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
s142,1,r4c3,activ-uman,2,faces/webp/s142-activ-uman-cost-2.webp,faces/pdf/s142-activ-uman-cost-2.pdf,artwork/png/s142-activ-uman-cost-2.png,artwork/jpg/s142-activ-uman-cost-2.jpg,artwork/webp/s142-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
s143,1,r4c4,activ-uman,2,faces/webp/s143-activ-uman-cost-2.webp,faces/pdf/s143-activ-uman-cost-2.pdf,artwork/png/s143-activ-uman-cost-2.png,artwork/jpg/s143-activ-uman-cost-2.jpg,artwork/webp/s143-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
s144,1,r4c5,activ-uman,2,faces/webp/s144-activ-uman-cost-2.webp,faces/pdf/s144-activ-uman-cost-2.pdf,artwork/png/s144-activ-uman-cost-2.png,artwork/jpg/s144-activ-uman-cost-2.jpg,artwork/webp/s144-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
s145,1,r5c1,activ-uman,2,faces/webp/s145-activ-uman-cost-2.webp,faces/pdf/s145-activ-uman-cost-2.pdf,artwork/png/s145-activ-uman-cost-2.png,artwork/jpg/s145-activ-uman-cost-2.jpg,artwork/webp/s145-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
s146,1,r5c2,activ-uman,2,faces/webp/s146-activ-uman-cost-2.webp,faces/pdf/s146-activ-uman-cost-2.pdf,artwork/png/s146-activ-uman-cost-2.png,artwork/jpg/s146-activ-uman-cost-2.jpg,artwork/webp/s146-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
s147,1,r5c3,activ-uman,3,faces/webp/s147-activ-uman-cost-3.webp,faces/pdf/s147-activ-uman-cost-3.pdf,artwork/png/s147-activ-uman-cost-3.png,artwork/jpg/s147-activ-uman-cost-3.jpg,artwork/webp/s147-activ-uman-cost-3.webp,BT_EZplay_pag2.pdf
s148,1,r5c4,activ-uman,2,faces/webp/s148-activ-uman-cost-2.webp,faces/pdf/s148-activ-uman-cost-2.pdf,artwork/png/s148-activ-uman-cost-2.png,artwork/jpg/s148-activ-uman-cost-2.jpg,artwork/webp/s148-activ-uman-cost-2.webp,BT_EZplay_pag2.pdf
gol_uman,1,r5c5,carte-inlocuire,,,,,,BT_EZplay_pag2.pdf
